id,name,stars,link
7600409,shadowsocks/shadowsocks-windows,51064,https://github.com/shadowsocks/shadowsocks-windows
49609581,PowerShell/PowerShell,23360,https://github.com/PowerShell/PowerShell
11620669,CodeHubApp/CodeHub,23078,https://github.com/CodeHubApp/CodeHub
17620347,dotnet/aspnetcore,20265,https://github.com/dotnet/aspnetcore
15315789,Wox-launcher/Wox,19077,https://github.com/Wox-launcher/Wox
38380854,dnSpy/dnSpy,16586,https://github.com/dnSpy/dnSpy
199570071,2dust/v2rayN,16270,https://github.com/2dust/v2rayN
70104825,dotnet-architecture/eShopOnContainers,16030,https://github.com/dotnet-architecture/eShopOnContainers
69662720,mxgmn/WaveFunctionCollapse,15510,https://github.com/mxgmn/WaveFunctionCollapse
13428264,ShareX/ShareX,14540,https://github.com/ShareX/ShareX
29078997,dotnet/roslyn,13735,https://github.com/dotnet/roslyn
54086969,thangchung/awesome-dotnet-core,13578,https://github.com/thangchung/awesome-dotnet-core
1613345,StackExchange/Dapper,13090,https://github.com/StackExchange/Dapper
64713769,NickeManarin/ScreenToGif,13005,https://github.com/NickeManarin/ScreenToGif
1327739,icsharpcode/ILSpy,11501,https://github.com/icsharpcode/ILSpy
14964475,AvaloniaUI/Avalonia,10139,https://github.com/AvaloniaUI/Avalonia
30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,9992,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
102904613,Unity-Technologies/ml-agents,9894,https://github.com/Unity-Technologies/ml-agents
16157746,dotnet/efcore,9737,https://github.com/dotnet/efcore
143460965,GoogleCloudPlatform/microservices-demo,9160,https://github.com/GoogleCloudPlatform/microservices-demo
12201538,aspnetboilerplate/aspnetboilerplate,9083,https://github.com/aspnetboilerplate/aspnetboilerplate
791611,mono/mono,9022,https://github.com/mono/mono
959908,OpenRA/OpenRA,8805,https://github.com/OpenRA/OpenRA
161012019,jellyfin/jellyfin,8667,https://github.com/jellyfin/jellyfin
9864166,App-vNext/Polly,8344,https://github.com/App-vNext/Polly
28239455,dotnet/AspNetCore.Docs,8225,https://github.com/dotnet/AspNetCore.Docs
3476845,JamesNK/Newtonsoft.Json,8222,https://github.com/JamesNK/Newtonsoft.Json
2087064,SignalR/SignalR,8187,https://github.com/SignalR/SignalR
505380,AutoMapper/AutoMapper,7690,https://github.com/AutoMapper/AutoMapper
374228,restsharp/RestSharp,7563,https://github.com/restsharp/RestSharp
1135454,cefsharp/CefSharp,7547,https://github.com/cefsharp/CefSharp
46652227,IdentityServer/IdentityServer4,7407,https://github.com/IdentityServer/IdentityServer4
118322286,felixse/FluentTerminal,7395,https://github.com/felixse/FluentTerminal
2584777,MahApps/MahApps.Metro,7323,https://github.com/MahApps/MahApps.Metro
88064357,QL-Win/QuickLook,7307,https://github.com/QL-Win/QuickLook
132021166,dotnet/machinelearning,7300,https://github.com/dotnet/machinelearning
126486701,Unity-Technologies/UnityCsReference,7221,https://github.com/Unity-Technologies/UnityCsReference
1579990,MonoGame/MonoGame,7190,https://github.com/MonoGame/MonoGame
738250,NancyFx/Nancy,7144,https://github.com/NancyFx/Nancy
28232663,dotnet/orleans,7135,https://github.com/dotnet/orleans
28647218,chocolatey/choco,7082,https://github.com/chocolatey/choco
193681686,NetchX/Netch,6853,https://github.com/NetchX/Netch
198071756,huiyadanli/RevokeMsgPatcher,6572,https://github.com/huiyadanli/RevokeMsgPatcher
7560589,JeffreySu/WeiXinMPSDK,6550,https://github.com/JeffreySu/WeiXinMPSDK
46755185,bitwarden/server,6461,https://github.com/bitwarden/server
75990888,dotnet/csharplang,6460,https://github.com/dotnet/csharplang
11920542,HangfireIO/Hangfire,6254,https://github.com/HangfireIO/Hangfire
142076747,microsoft/ailab,6223,https://github.com/microsoft/ailab
12191244,dotnet/BenchmarkDotNet,6021,https://github.com/dotnet/BenchmarkDotNet
44897462,JustArchiNET/ArchiSteamFarm,6003,https://github.com/JustArchiNET/ArchiSteamFarm
715082,reactiveui/ReactiveUI,5939,https://github.com/reactiveui/ReactiveUI
2465723,Sonarr/Sonarr,5935,https://github.com/Sonarr/Sonarr
